"name","terminal","concourse","airside","gate","address","phone","website","cuisine","categories","description","opening_hours","wheelchair","takeaway","halal","vegetarian_options","vegan_options","verified_status","osm_id"
"Smoothie King","Terminal 1","Concourse B","Airside","B6","Terminal 1 near Gate B6","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Sports Edition Bar","Terminal 2","","Landside","","Terminal 2 near Hilton","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Stanley's Blackhawks Kitchen & Tap","Terminal 2","Concourse E","Airside","E5","Terminal 2 near Gate E5","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Starbucks","Terminal 1","Concourse B","Airside","B9","Terminal 1 near Gate B9","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Starbucks","Terminal 1","Concourse B","Airside","B5","Terminal 1 near Gate B5","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Starbucks","Terminal 2","Concourse E","Airside","E2","Terminal 2 near Gate E2","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Starbucks","Terminal 2","Concourse E","Airside","E11","Terminal 2 near Gate E11","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Starbucks","Terminal 3","Concourse H","Airside","H1","Terminal 3 near Gate H1","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Starbucks","Terminal 3","Concourse H","Airside","H6","Terminal 3 near Gate H6","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Starbucks","Terminal 3","Concourse K","Airside","K4","Terminal 3 near Gate K4","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Starbucks","Terminal 3","Concourse L","Airside","L1","Terminal 3 near Gate L1","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Starbucks","Terminal 3","Concourse L","Airside","L20","Terminal 3 near Gate L20","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Starbucks","Terminal 1","Concourse C","Airside","C17","Terminal 1 near Gate C17","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Subway","Terminal 3","Concourse T","Airside","T3","Terminal 3 near T3 Rotunda near Gate G1","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Summer House Santa Monica","Terminal 2","Concourse E","Airside","E2","Terminal 2 near Gate E2","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"The Bronze Pizza","Terminal 1","Concourse B","Airside","B7","Terminal 1 near Gate B7","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"The Bronze Tap","Terminal 3","Concourse K","Airside","K4","Terminal 3 near Gate K4","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"The Dearborn","Terminal 5","Concourse M","Airside","M17","Terminal 5 near Gate M17","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"The Goddess and Grocer","Terminal 5","","Landside","","Terminal 5 near Departures","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"The Hampton Social","Terminal 5","Concourse M","Airside","M7","Terminal 5 near Gate M7","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Tortas Frontera by Rick Bayless","Terminal 1","Concourse B","Airside","B10","Terminal 1 near Gate B10","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Tortas Frontera by Rick Bayless","Terminal 3","Concourse K","Airside","K4","Terminal 3 near Gate K4","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Tortas Frontera by Rick Bayless","Terminal 5","Concourse M","Airside","M18","Terminal 5 near Gate M18","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Tuscany Cafe","Terminal 1","Concourse B","Airside","B18","Terminal 1 near Gate B18","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Urban Olive","Terminal 5","Concourse M","Airside","M16","Terminal 5 near Gate M16","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Veteran Roasters/Brown Sugar Bakery","Terminal 3","Concourse K","Airside","K15","Terminal 3 near Gate K15","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Wicker Park Market","Terminal 1","Concourse C","Airside","C1","Terminal 1 near Gate C1","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Wicker Park Sushi Bar","Terminal 2","Concourse E","Airside","E1","Terminal 2 near Gate E1","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Wolfgang Puck Express","Terminal 3","Concourse K","Airside","K12","Terminal 3 near Gate K12","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Wow Bao","Terminal 5","Concourse M","Airside","M16","Terminal 5 near Gate M16","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
