name,cuisine,airport_count,airports,example_airport
Bagel Boss,,1,JFK,JFK
Bahama Breeze - Gates 70-79,,1,MCO,MCO
Baker Street,,1,BOM,BOM
Bakeside,,1,ZRH,ZRH
Baladna,"Cafe, Dairy, Juices",1,DOH,DOH
Baladna Express,"Café, Dairy, Juices",1,DOH,DOH
Balaji,,1,BOM,BOM
Balbisiana,,1,MAD,MAD
Ballard Brew Hall,,1,SEA,SEA
Bam Bam,,1,IAH,IAH
Bambuza Vietnam Kitchen & Bar,,1,SEA,SEA
Bamee,,1,MUC,MUC
Bananas Smoothies & Frozen Yogurt - Gates 100-129,,1,MCO,MCO
Banapple,,1,MNL,MNL
Bangalore Empire Restaurant - Qusais,indian,1,DXB,DXB
Bar 120,,1,YYZ,YYZ
Bar 212,,1,LGA,LGA
Bar Dough,,1,DEN,DEN
Bar Fly,,1,BOM,BOM
Bar Iris,,1,ZRH,ZRH
Bar Louie,,1,DFW,DFW
Bar Pulpo by Movida,,1,MEL,MEL
Bar Siena,,1,ORD,ORD
Bar Veloce,,1,LGA,LGA
Barbadimos,,1,ATH,ATH
Barburrito,,1,MAN,MAN
Bareto,,1,MAD,MAD
Bari-Uma (霸嗎拉麵),ramen,1,HKG,HKG
Barista Bot Robotic Vending,,1,DEN,DEN
Barista Premium,,1,TPE,TPE
Barney's Lounge,,1,LAS,LAS
Barnie's Coffee & Tea Co.,,1,MCO,MCO
Baron Rojo,,1,MEX,MEX
Baskin Robbins & Dunkin',,1,ORD,ORD
Baskin Robins,,1,DXB,DXB
Basta,"Qatari, Middle Eastern",1,DOH,DOH
Bayou City Bar,,1,IAH,IAH
Beacon Bar and Kitchen,"pizza, sandwich",1,JFK,JFK
Bean Love,,1,FRA,FRA
Beaudevin Wine Bar,,1,ORD,ORD
Beauty in the Pot,chinese,1,SIN,SIN
Bebang,,1,MNL,MNL
Beecher's Handmade Cheese / Sweetleaf Coffee Roasters,,1,LGA,LGA
Beercode,,1,FCO,FCO
Beers & Cheers,,1,BRU,BRU
Beher,,1,MAD,MAD
Belad Al Sham Rest.,,1,DXB,DXB
Belgorama,,1,BRU,BRU
Belle & Belge,,1,BRU,BRU
Bellevue,,1,ZRH,ZRH
Ben & Jerry's Ice Cream,,1,DEN,DEN
